,Name,Age,Gender,Net_Worth,Region,Company
1,Bill Gates,58.0,male,76.0,North America,Microsoft
4,Carlos Slim Helu,74.0,male,72.0,Latin America,Telmex
7,Amancio Ortega,77.0,male,64.0,Europe,Zara
0,Bill Gates,45.0,male,58.7,North America,Microsoft
10,Warren Buffett,83.0,male,58.2,North America,Berkshire Hathaway
13,Larry Ellison,69.0,male,48.0,North America,Oracle
16,Charles Koch,78.0,male,40.0,North America,Koch industries
17,David Koch,73.0,male,40.0,North America,Koch industries
22,Sheldon Adelson,80.0,male,38.0,North America,Las Vegas Sands
25,Christy Walton,59.0,female,36.7,North America,Walmart
29,Jim Walton,66.0,male,34.7,North America,Walmart
31,Liliane Bettencourt,91.0,female,34.5,Europe,L'Oreal
34,Stefan Persson,66.0,male,34.4,Europe, H&M
37,Alice Walton,64.0,female,34.3,North America,Walmart
40,S. Robson Walton,70.0,male,34.2,North America,Walmart
43,Bernard Arnault,64.0,male,33.5,Europe,LVMH
46,Michael Bloomberg,72.0,male,33.0,North America,Bloomberg
49,Larry Page,40.0,male,32.3,North America,Google
3,Warren Buffett,70.0,male,32.3,North America,Berkshire Hathaway
53,Jeff Bezos,50.0,male,32.0,North America,Amazon
55,Sergey Brin,40.0,male,31.8,North America,Google
58,Li Ka-shing,85.0,male,31.0,East Asia,Cheung Kong
6,Paul Allen,48.0,male,30.4,North America,Microsoft
62,Mark Zuckerberg,29.0,male,28.5,North America, Facebook
64,Michele Ferrero,88.0,male,26.5,Europe,Ferrero spa
9,Larry Ellison,56.0,male,26.0,North America,Oracle
67,Aliko Dangote,56.0,male,25.0,Sub-Saharan Africa,Dangote Group
68,Karl Albrecht,94.0,male,25.0,Europe,Aldi Sud
12,Theo and Karl Albrecht,,male,25.0,Europe,Aldi
73,Carl Icahn,78.0,male,24.5,North America,Icahn Enterprises
76,George Soros,83.0,male,23.0,North America,Soros Fund Management
80,David Thomson,56.0,male,22.6,North America,Thomson Corporation (now Thomson Reuters)
82,Lui Che Woo,84.0,male,22.0,East Asia,K. Wah Group
85,Dieter Schwarz,74.0,male,21.1,Europe,Schwarz Group
88,Prince Alwaleed Bin Talal Alsaud,58.0,male,20.4,Middle East/North Africa,Kingdom Holding Company
15,Prince Alwaleed Bin Talal Alsaud,44.0,male,20.0,Middle East/North Africa,Kingdom Holding Company
94,"Forrest Mars, Jr.",82.0,male,20.0,North America,"Mars, Incorperated"
95,Jacqueline Mars,74.0,female,20.0,North America,"Mars, Incorperated"
96,John Mars,77.0,male,20.0,North America,"Mars, Incorperated"
100,Jorge Paulo Lemann,74.0,male,19.7,Latin America,Ambev
104,Lee Shau Kee,86.0,male,19.6,East Asia,Henderson Land Development
106,Steve Ballmer,57.0,male,19.3,North America,Microsoft
107,"Theo Albrecht, Jr.",63.0,male,19.3,Europe,Aldi Nord
112,Leonardo Del Vecchio,78.0,male,19.2,Europe,?Luxottica
19,Jim Walton,53.0,male,18.8,North America,Walmart
21,John Walton,55.0,male,18.7,North America,Walmart
