,Name,Symbol,Market Cap,Price,Circulating Supply,Volume
0,Bitcoin,BTC,"$1,054,724,231,638","$56,445.17","18,685,818","$97,129,269,434"
1,Ethereum,ETH,"$257,281,204,078","$2,227.07","115,524,748","$50,357,300,376"
2,Binance Coin,BNB,"$73,084,824,324",$476.33,"153,432,897","$6,644,068,337"
3,XRP,XRP,"$63,551,166,371",$1.40,"45,404,028,640","$22,077,607,975"
4,Tether,USDT,"$48,068,931,879",$0.9999,"48,075,190,515","$223,297,545,140"
5,Dogecoin,DOGE,"$42,490,132,123",$0.3288,"129,237,971,710","$23,442,832,278"
6,Cardano,ADA,"$40,964,494,523",$1.28,"31,948,309,441","$7,400,230,605"
7,Polkadot,DOT,"$35,122,211,341",$37.73,"930,989,386","$5,961,417,490"
8,Litecoin,LTC,"$18,231,983,042",$273.13,"66,752,415","$13,208,082,532"
9,Bitcoin Cash,BCH,"$17,694,913,933",$945.62,"18,712,513","$11,368,334,990"
10,Uniswap,UNI,"$16,816,595,724",$32.13,"523,385,460","$1,444,760,492"
11,Chainlink,LINK,"$16,261,070,471",$38.81,"419,009,556","$4,365,274,734"
12,VeChain,VET,"$15,877,562,301",$0.2469,"64,315,576,989","$4,500,775,758"
13,Stellar,XLM,"$12,578,600,510",$0.5497,"22,881,768,129","$2,628,415,628"
14,THETA,THETA,"$11,776,395,272",$11.78,"1,000,000,000","$1,077,133,393"
15,USD Coin,USDC,"$11,306,693,500",$1,"11,306,949,961","$3,832,496,108"
16,Filecoin,FIL,"$10,636,819,621",$157.90,"67,362,200","$3,986,907,082"
17,TRON,TRX,"$10,247,353,401",$0.143,"71,659,657,369","$7,453,403,991"
18,Wrapped Bitcoin,WBTC,"$8,665,257,939","$56,419.06","153,587","$314,704,217"
19,Solana,SOL,"$8,425,922,869",$31.20,"270,018,859","$1,038,225,355"
20,Neo,NEO,"$7,481,009,939",$106.06,"70,538,831","$4,483,943,035"
21,EOS,EOS,"$6,807,226,346",$7.15,"952,649,757","$7,030,290,336"
22,IOTA,MIOTA,"$6,306,500,191",$2.27,"2,779,530,283","$550,771,140"
23,Klaytn,KLAY,"$6,262,305,474",$2.55,"2,455,689,081","$136,936,466"
24,Bitcoin SV,BSV,"$6,235,416,097",$333.28,"18,709,183","$4,072,615,350"
25,Monero,XMR,"$5,988,101,836",$334.72,"17,889,962","$1,027,078,001"
26,Binance USD,BUSD,"$5,403,124,359",$1.00,"5,402,890,536","$9,691,874,323"
27,BitTorrent,BTT,"$5,321,109,556",$0.008063,"659,952,625,000","$2,538,374,563"
28,Crypto.com Coin,CRO,"$5,236,702,493",$0.2073,"25,263,013,692","$185,274,096"
29,Terra,LUNA,"$5,101,596,543",$13.44,"379,537,693","$546,448,621"
30,Tezos,XTZ,"$4,825,933,039",$6.29,"766,867,107","$964,253,642"
31,Aave,AAVE,"$4,737,425,886",$379.35,"12,488,212","$1,012,288,902"
32,FTX Token,FTT,"$4,728,839,008",$50.12,"94,346,958","$292,981,689"
33,Cosmos,ATOM,"$4,526,449,257",$21.48,"210,690,440","$1,337,977,032"
34,Ethereum Classic,ETC,"$4,372,348,447",$37.59,"116,313,299","$6,889,128,219"
35,Algorand,ALGO,"$4,157,950,319",$1.46,"2,852,986,488","$874,465,307"
36,Avalanche,AVAX,"$3,735,608,312",$29.05,"128,609,468","$578,367,318"
37,THORChain,RUNE,"$3,743,986,255",$16.11,"232,455,760","$311,591,200"
38,NEM,XEM,"$3,642,706,466",$0.4047,"8,999,999,999","$583,273,010"
39,Dai,DAI,"$3,563,066,078",$1.00,"3,562,843,338","$731,268,487"
40,Kusama,KSM,"$3,481,635,478",$411.05,"8,470,098","$428,373,239"
41,PancakeSwap,CAKE,"$3,437,425,349",$21.89,"157,012,708","$808,496,102"
42,Elrond,EGLD,"$3,295,286,866",$190.31,"17,315,373","$421,180,783"
43,Maker,MKR,"$3,212,888,914","$3,228.26","995,239","$302,880,446"
44,Dash,DASH,"$3,123,505,245",$309.73,"10,084,502","$2,474,173,888"
45,Huobi Token,HT,"$3,085,244,842",$17.32,"178,105,407","$961,888,830"
46,Bitcoin BEP2,BTCB,"$3,067,059,424","$56,175.28","54,598","$76,455,721"
47,Chiliz,CHZ,"$3,002,381,452",$0.5374,"5,586,355,378","$1,614,762,140"
48,Zcash,ZEC,"$2,929,495,544",$252.89,"11,584,144","$2,224,190,557"
49,Holo,HOT,"$2,908,403,520",$0.01719,"169,158,310,031","$552,339,572"
50,Decred,DCR,"$2,897,623,623",$225.76,"12,835,066","$51,794,273"
51,Hedera Hashgraph,HBAR,"$2,497,572,047",$0.3155,"7,917,182,327","$473,520,255"
52,Compound,COMP,"$2,464,380,622",$485.52,"5,075,799","$575,129,451"
53,Siacoin,SC,"$2,395,427,124",$0.05038,"47,548,372,992","$1,143,057,763"
54,Enjin Coin,ENJ,"$2,256,059,500",$2.70,"834,313,757","$478,834,497"
55,Zilliqa,ZIL,"$2,228,485,504",$0.1992,"11,185,649,565","$368,054,817"
56,Stacks,STX,"$2,176,262,220",$2.00,"1,088,011,006","$41,404,058"
57,UNUS SED LEO,LEO,"$2,161,354,449",$2.16,"999,498,893","$4,798,980"
58,The Graph,GRT,"$2,120,884,823",$1.70,"1,245,666,867","$612,946,936"
59,Decentraland,MANA,"$2,112,379,238",$1.34,"1,578,089,513","$820,849,411"
60,Synthetix,SNX,"$2,065,888,114",$17.99,"114,841,533","$280,650,015"
61,Nexo,NEXO,"$1,973,019,049",$3.52,"560,000,011","$18,465,405"
62,Basic Attention Token,BAT,"$1,970,254,609",$1.32,"1,492,816,441","$850,658,568"
63,UMA,UMA,"$1,908,403,937",$31.77,"60,078,660","$225,459,811"
64,DigiByte,DGB,"$1,892,172,601",$0.133,"14,230,045,700","$361,912,052"
65,yearn.finance,YFI,"$1,889,586,926","$51,578.82","36,635","$729,805,344"
66,Polygon,MATIC,"$1,861,848,979",$0.3588,"5,188,388,130","$395,908,324"
67,NEAR Protocol,NEAR,"$1,827,722,793",$5.18,"352,983,698","$199,521,023"
68,SushiSwap,SUSHI,"$1,816,143,126",$14.27,"127,244,443","$1,218,290,174"
